iter	Logloss
0	0.6687695313
1	0.6467091064
2	0.6279908447
3	0.6106290283
4	0.5949707031
5	0.581196106
6	0.5656784058
7	0.5515450439
8	0.5385849609
9	0.528197876
10	0.5168540039
11	0.5079694519
12	0.499478241
13	0.4914118652
14	0.4854266357
15	0.4774240112
16	0.4708851013
17	0.4634642334
18	0.4566202087
19	0.4512855835
20	0.4464404907
21	0.4413501587
22	0.4373640137
23	0.4331174927
24	0.4289033203
25	0.4249815369
26	0.4207540894
27	0.4172780457
28	0.4139101562
29	0.4108282166
30	0.4079873352
31	0.4048345642
32	0.4017839355
33	0.3992511292
34	0.3971130981
35	0.3950735779
36	0.3922466125
37	0.3903389587
38	0.3881616821
39	0.3863786926
40	0.3839667664
41	0.382461731
42	0.3804127197
43	0.3787608337
44	0.3776124878
45	0.3763627319
46	0.3751634827
47	0.3739126587
48	0.3727435913
49	0.371764801
50	0.3708909302
51	0.3698256836
52	0.3680449524
53	0.367118103
54	0.3661028442
55	0.3654210205
56	0.3644142151
57	0.3635739746
58	0.3628721924
59	0.3611858521
60	0.3606491699
61	0.3597853394
62	0.3590939636
63	0.3584581604
64	0.357277832
65	0.3562192688
66	0.3558838501
67	0.3548812256
68	0.3538788452
69	0.3533446045
70	0.3528898621
71	0.3521781006
72	0.3517306519
73	0.351177887
74	0.3499388733
75	0.3493418579
76	0.3490161743
77	0.3484750977
78	0.3481958618
79	0.3477251282
80	0.3474343872
81	0.3470593872
82	0.3464798889
83	0.3461618347
84	0.3456994934
85	0.3451380005
86	0.3445823975
87	0.3441348267
88	0.3438291626
89	0.3436667175
90	0.3433516235
91	0.343085083
92	0.3427937622
93	0.3423196716
94	0.3420354004
95	0.3417892456
96	0.3412085571
97	0.3409263306
98	0.340704895
99	0.3398991394
100	0.3395913696
101	0.3393712769
102	0.3388664856
103	0.3386762695
104	0.3382355957
105	0.3379134521
106	0.3376716003
107	0.3373400879
108	0.3369371033
109	0.3367602539
110	0.3365960693
111	0.3363512573
112	0.3361254272
113	0.3358723145
114	0.3357415771
115	0.3355010376
116	0.3353467407
117	0.3351310425
118	0.3347769165
119	0.3345852051
120	0.334350708
121	0.334085907
122	0.33393573
123	0.3337992554
124	0.3334600525
125	0.3332084351
126	0.3327542725
127	0.3324408569
128	0.3322510071
129	0.3321379089
130	0.3317684631
131	0.3316399231
132	0.3313621826
133	0.3310740356
134	0.3306856079
135	0.3304094849
136	0.3303415833
137	0.3302186279
138	0.3300485229
139	0.3298034973
140	0.329694458
141	0.3296055908
142	0.3291549683
143	0.3290038452
144	0.3288433838
145	0.3286357422
146	0.3285211182
147	0.3283634338
148	0.328281311
149	0.3280656738
150	0.327942627
151	0.3277233276
152	0.3275192261
153	0.3274368896
154	0.3273335571
155	0.3271783447
156	0.3270648193
157	0.3269002075
158	0.3267669373
159	0.3265827332
160	0.3264841919
161	0.3263284302
162	0.3261668396
163	0.3260622559
164	0.3259654846
165	0.3257610474
166	0.3256531982
167	0.3255030212
168	0.3254171753
169	0.325274292
170	0.325089447
171	0.3249931641
172	0.3247744141
173	0.3246775513
174	0.3244013062
175	0.3241510315
176	0.3240647278
177	0.3239500427
178	0.3238308105
179	0.3237191162
180	0.3236640015
181	0.3235752258
182	0.3234884644
183	0.3233635864
184	0.3232243652
185	0.3230337524
186	0.3227080994
187	0.322575592
188	0.3223930969
189	0.3222828674
190	0.3221359253
191	0.3220638428
192	0.3219200439
193	0.3218714905
194	0.321812561
195	0.3217392578
196	0.3216776733
197	0.321453125
198	0.321395813
199	0.3212869873
200	0.321208313
201	0.3211525879
202	0.3209842529
203	0.3208875427
204	0.320782959
205	0.3206806641
206	0.3205491638
207	0.3204456482
208	0.3203267212
209	0.3201108398
210	0.319977417
211	0.31991922
212	0.3198485107
213	0.3197020569
214	0.3195545959
215	0.3194876709
216	0.3193670654
217	0.3192461853
218	0.3191431274
219	0.3190283813
220	0.3189395142
221	0.3188426514
222	0.3188048706
223	0.318636322
224	0.3185687256
225	0.3183140259
226	0.3182409668
227	0.3181929016
228	0.3181062012
229	0.318025177
230	0.3180155945
231	0.3179046631
232	0.3177388916
233	0.3176408997
234	0.3175607605
235	0.3175144653
236	0.3173980408
237	0.3172877808
238	0.317170105
239	0.3170767212
240	0.3169765015
241	0.3169089966
242	0.3168488464
243	0.3167272949
244	0.3166590576
245	0.3165621948
246	0.316475769
247	0.3163902283
248	0.3162625122
249	0.3161263733
250	0.3160422668
251	0.3159440002
252	0.315896637
253	0.3158061829
254	0.3157177429
255	0.3156684875
256	0.3154901733
257	0.3154452209
258	0.3153217163
259	0.3152287292
260	0.3151329041
261	0.3150763855
262	0.3150087891
263	0.3148741455
264	0.3147180481
265	0.3146501465
266	0.3145027771
267	0.3144266357
268	0.3143470764
269	0.3142613831
270	0.3141877747
271	0.3141090393
272	0.3140260925
273	0.3138445129
274	0.31372229
275	0.313651886
276	0.3135475769
277	0.3133537903
278	0.3132673645
279	0.3130741882
280	0.3129884644
281	0.3129630127
282	0.3128025513
283	0.3126995544
284	0.312552063
285	0.3123883972
286	0.3122738037
287	0.312210907
288	0.3121132202
289	0.3120039063
290	0.3119463196
291	0.3118708191
292	0.311775177
293	0.3117122192
294	0.3115925293
295	0.3115363159
296	0.3114171143
297	0.3113702393
298	0.311309082
299	0.3112453918
300	0.3111794128
301	0.3110269165
302	0.3109098816
303	0.3107728577
304	0.3106589966
305	0.3105967407
306	0.3104499512
307	0.3103345032
308	0.3102675476
309	0.3101994629
310	0.3101364136
311	0.3100724182
312	0.3100039063
313	0.3098954468
314	0.3098023682
315	0.3096966248
316	0.3095889893
317	0.309510437
318	0.3094156799
319	0.3093469238
320	0.3092013245
321	0.3091297607
322	0.3090535889
323	0.3087573242
324	0.3085794678
325	0.3084346924
326	0.3083675537
327	0.3083047485
328	0.308216156
